,eps,metric,algorithm,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,1.0,cosine,auto,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_0,,1.7235363568334112e-15
1,1.0,cosine,brute,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_1,,1.7235363568334112e-15
2,1.0,euclidean,auto,0.005162786299655701,0.1557361901169362,1.0017891451065872,0.7394273227013448,0.004742033078960664,0.0030546000883143014,DBSCAN_2,0.4051075783093551,0.009203817819247897
3,1.0,euclidean,ball_tree,0.005162786299655701,0.1557361901169362,1.0017891451065872,0.7394273227013448,0.004742033078960664,0.0030546000883143014,DBSCAN_3,0.4051075783093551,0.009203817819247897
4,1.0,euclidean,kd_tree,0.005162786299655701,0.1557361901169362,1.0017891451065872,0.7394273227013448,0.004742033078960664,0.0030546000883143014,DBSCAN_4,0.4051075783093551,0.009203817819247897
5,1.0,euclidean,brute,0.005162786299655701,0.1557361901169362,1.0017891451065872,0.7394273227013448,0.004742033078960664,0.0030546000883143014,DBSCAN_5,0.4051075783093551,0.009203817819247897
6,1.0,manhattan,auto,0.40264947752784136,0.35646944033725586,1.3215879640023467,0.7663699295386004,0.29865686886200166,0.192381048974355,DBSCAN_6,0.3717247548878478,0.3250122774835299
7,1.0,manhattan,ball_tree,0.40264947752784136,0.35646944033725586,1.3215879640023467,0.7663699295386004,0.29865686886200166,0.192381048974355,DBSCAN_7,0.3717247548878478,0.3250122774835299
8,1.0,manhattan,kd_tree,0.40264947752784136,0.35646944033725586,1.3215879640023467,0.7663699295386004,0.29865686886200166,0.192381048974355,DBSCAN_8,0.3717247548878478,0.3250122774835299
9,1.0,manhattan,brute,0.40264947752784136,0.35646944033725586,1.3215879640023467,0.7663699295386004,0.29865686886200166,0.192381048974355,DBSCAN_9,0.3717247548878478,0.3250122774835299
10,1.5,cosine,auto,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_10,,1.7235363568334112e-15
11,1.5,cosine,brute,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_11,,1.7235363568334112e-15
12,1.5,euclidean,auto,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_12,,1.7235363568334112e-15
13,1.5,euclidean,ball_tree,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_13,,1.7235363568334112e-15
14,1.5,euclidean,kd_tree,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_14,,1.7235363568334112e-15
15,1.5,euclidean,brute,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_15,,1.7235363568334112e-15
16,1.5,manhattan,auto,0.03725248690289252,0.22128240211219524,1.641191871456699,0.7369854729543511,0.033717034890999927,0.02171896653625159,DBSCAN_16,0.3327922444327053,0.05851767016009275
17,1.5,manhattan,ball_tree,0.03725248690289252,0.22128240211219524,1.641191871456699,0.7369854729543511,0.033717034890999927,0.02171896653625159,DBSCAN_17,0.3327922444327053,0.05851767016009275
18,1.5,manhattan,kd_tree,0.03725248690289252,0.22128240211219524,1.641191871456699,0.7369854729543511,0.033717034890999927,0.02171896653625159,DBSCAN_18,0.3327922444327053,0.05851767016009275
19,1.5,manhattan,brute,0.03725248690289252,0.22128240211219524,1.641191871456699,0.7369854729543511,0.033717034890999927,0.02171896653625159,DBSCAN_19,0.3327922444327053,0.05851767016009275
20,2.0,cosine,auto,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_20,,1.7235363568334112e-15
21,2.0,cosine,brute,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_21,,1.7235363568334112e-15
22,2.0,euclidean,auto,0.0,1.0,,0.7399596507440864,8.617681784167064e-16,5.551115123125783e-16,DBSCAN_22,,1.7235363568334112e-15
