,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time,base_parameter
0,0,ex_0,1,minkowski,1,majority,equal,0.9939052742148167,0.0012219616959598645,3.4958492040634157,0.05641885353627387,k
1,0,ex_0,1,minkowski,1,majority,equal,0.9939052742148167,0.0012219616959598645,3.4958492040634157,0.05641885353627387,distance
2,0,ex_0,1,minkowski,1,majority,equal,0.9939052742148167,0.0012219616959598645,3.4958492040634157,0.05641885353627387,decision
3,3,ex_3,1,minkowski,1,IDW,equal,0.9939052742148167,0.0012219616959598645,3.851625418663025,0.19436490774326187,decision
4,6,ex_6,1,minkowski,1,sheppard,equal,0.9939052742148167,0.0012219616959598645,3.5780964851379395,0.09684942631099283,decision
5,0,ex_0,1,minkowski,1,majority,equal,0.9939052742148167,0.0012219616959598645,3.4958492040634157,0.05641885353627387,weighting
6,30,ex_30,3,minkowski,2,IDW,equal,0.9938151097546735,0.0019385646340986129,3.9480504751205445,0.16347713824746457,k
7,30,ex_30,3,minkowski,2,IDW,equal,0.9938151097546735,0.0019385646340986129,3.9480504751205445,0.16347713824746457,distance
8,48,ex_48,5,minkowski,2,IDW,equal,0.9930875022375416,0.0018220709356128698,3.593088483810425,0.06980293451002756,k
9,66,ex_66,7,minkowski,2,IDW,equal,0.9925414674495434,0.0017563586774247814,3.9271512985229493,0.15289132352215734,k
10,47,ex_47,5,minkowski,2,majority,IG,0.9916312190626861,0.0023979222040081604,3.3646257162094115,0.07862932531176534,weighting
11,31,ex_31,3,minkowski,2,IDW,relieff,0.9906296446742344,0.0014119132660139514,4.14057228565216,0.08139586933828555,weighting
12,102,ex_102,7,cosine,,IDW,equal,0.6592140168893176,0.011266614504879402,3.284669208526611,0.054052549346147866,distance
