,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time
0,0,ex_0,1,minkowski,1,majority,equal,0.9939052742148167,0.0012219616959598645,3.4958492040634157,0.05641885353627387
1,3,ex_3,1,minkowski,1,IDW,equal,0.9939052742148167,0.0012219616959598645,3.851625418663025,0.19436490774326187
2,6,ex_6,1,minkowski,1,sheppard,equal,0.9939052742148167,0.0012219616959598645,3.5780964851379395,0.09684942631099283
3,30,ex_30,3,minkowski,2,IDW,equal,0.9938151097546735,0.0019385646340986129,3.9480504751205445,0.16347713824746457
4,21,ex_21,3,minkowski,1,IDW,equal,0.9936327951036258,0.0020722661455632946,4.025669193267822,0.12024836170515103
5,9,ex_9,1,minkowski,2,majority,equal,0.9933588264266794,0.0016299244464526143,3.5535733699798584,0.09802917937211583
6,15,ex_15,1,minkowski,2,sheppard,equal,0.9933588264266794,0.0016299244464526143,3.5290770292282105,0.08340500218453271
7,12,ex_12,1,minkowski,2,IDW,equal,0.9933588264266794,0.0016299244464526143,3.9382568120956423,0.18946952088060792
8,24,ex_24,3,minkowski,1,sheppard,equal,0.9932686609151021,0.0015832003911965987,3.7062398910522463,0.15642757529800214
9,18,ex_18,3,minkowski,1,majority,equal,0.9932686609151021,0.0015832003911965987,3.478554344177246,0.1477542317807363
10,48,ex_48,5,minkowski,2,IDW,equal,0.9930875022375416,0.0018220709356128698,3.593088483810425,0.06980293451002756
11,33,ex_33,3,minkowski,2,sheppard,equal,0.9930872558816315,0.0017303603413183247,3.813688135147095,0.1519710525203146
12,27,ex_27,3,minkowski,2,majority,equal,0.9930872558816315,0.0017303603413183247,3.637341046333313,0.10502615763590677
13,39,ex_39,5,minkowski,1,IDW,equal,0.9929956857821856,0.0023706533775701734,3.512524938583374,0.07630868562015458
14,42,ex_42,5,minkowski,1,sheppard,equal,0.992995602911684,0.002151035807854953,3.3315564393997192,0.10074123174800713
15,36,ex_36,5,minkowski,1,majority,equal,0.992995602911684,0.002151035807854953,3.279341793060303,0.06656901289187078
16,66,ex_66,7,minkowski,2,IDW,equal,0.9925414674495434,0.0017563586774247814,3.9271512985229493,0.15289132352215734
17,45,ex_45,5,minkowski,2,majority,equal,0.9923591527956187,0.001682515350155842,3.3011529207229615,0.07325769337529105
18,51,ex_51,5,minkowski,2,sheppard,equal,0.9923591527956187,0.001682515350155842,3.3779680252075197,0.04888999903092076
19,57,ex_57,7,minkowski,1,IDW,equal,0.9919946059115926,0.0016138058082141226,3.7906182289123533,0.0933297026615298
20,63,ex_63,7,minkowski,2,majority,equal,0.9919041099690311,0.0018344749657073468,3.5772362470626833,0.05380248016183251
21,69,ex_69,7,minkowski,2,sheppard,equal,0.9919041099690311,0.0018344749657073468,3.935128855705261,0.13635543244180798
22,47,ex_47,5,minkowski,2,majority,IG,0.9916312190626861,0.0023979222040081604,3.3646257162094115,0.07862932531176534
