,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time
0,23,ex_23,3,minkowski,1,IDW,IG,0.9793172988289592,0.0060391023274226985,1.0705158233642578,0.09732110392136711
1,20,ex_20,3,minkowski,1,majority,IG,0.9779924386286554,0.005828994005916604,0.9533113718032837,0.09546125487015927
2,26,ex_26,3,minkowski,1,sheppard,IG,0.9774675373394925,0.005456392783849024,0.9615046739578247,0.051369809590116194
3,59,ex_59,7,minkowski,1,IDW,IG,0.9769342375704545,0.004606723874820482,1.0278310298919677,0.09756458852523783
4,2,ex_2,1,minkowski,1,majority,IG,0.9766696873649952,0.007937332818964487,0.9053172826766968,0.006672725975376299
5,56,ex_56,7,minkowski,1,majority,IG,0.9764058313305812,0.004656696247097417,0.9067909479141235,0.012008484985739113
6,44,ex_44,5,minkowski,1,sheppard,IG,0.9764044316134808,0.003651199176975715,0.9801409244537354,0.03390903801210218
7,38,ex_38,5,minkowski,1,majority,IG,0.9761447935114445,0.0037127967571482807,1.0146146535873413,0.10209664732694054
8,41,ex_41,5,minkowski,1,IDW,IG,0.9758732073060576,0.005752459519663182,1.1910583257675171,0.16730898387919566
9,8,ex_8,1,minkowski,1,sheppard,IG,0.9758704227135361,0.0046809125626262335,0.9929634809494019,0.04273483620416229
10,68,ex_68,7,minkowski,2,IDW,IG,0.975613569174476,0.007464815014181599,1.1087918758392334,0.09676008987505541
11,62,ex_62,7,minkowski,1,sheppard,IG,0.9753497392385689,0.006900644131665466,1.0054239988327027,0.01834770673362895
12,5,ex_5,1,minkowski,1,IDW,IG,0.9732206873826129,0.006454457125785038,1.02727472782135,0.02856734079487425
13,50,ex_50,5,minkowski,2,IDW,IG,0.9729631581581291,0.007648420063739145,0.9955186605453491,0.02276133823057283
14,35,ex_35,3,minkowski,2,sheppard,IG,0.9719014410401174,0.008557304187595469,0.9389524936676026,0.01189060204756604
15,11,ex_11,1,minkowski,2,majority,IG,0.971638309155562,0.00794240379917557,0.9301599264144897,0.03500971539012083
16,71,ex_71,7,minkowski,2,sheppard,IG,0.9716319861077564,0.005448330013684746,0.9822160482406617,0.04169478789069447
17,47,ex_47,5,minkowski,2,majority,IG,0.9711099066187222,0.0065082299382286475,0.9295222520828247,0.027488555926980015
18,29,ex_29,3,minkowski,2,majority,IG,0.9708453377799138,0.00622638678360937,0.9187685251235962,0.019991233089774012
19,65,ex_65,7,minkowski,2,majority,IG,0.9708425419896555,0.006684651260399241,0.9857532262802124,0.059069115807791645
20,17,ex_17,1,minkowski,2,sheppard,IG,0.970842538286622,0.006360517861100406,0.9656561613082886,0.02889320271715819
21,53,ex_53,5,minkowski,2,sheppard,IG,0.9708418291261701,0.007572047004671043,0.9379348516464233,0.013330180511519874
22,32,ex_32,3,minkowski,2,IDW,IG,0.970836924428814,0.005440586609466607,1.0057853698730468,0.04781698137090849
23,14,ex_14,1,minkowski,2,IDW,IG,0.9689843634460555,0.006488551677176437,1.06436185836792,0.07550497075558153
24,61,ex_61,7,minkowski,1,sheppard,relieff,0.9673935532050102,0.0069080024875524376,1.008222484588623,0.08841771760025492
25,55,ex_55,7,minkowski,1,majority,relieff,0.9673935532050102,0.0069080024875524376,0.9197147607803344,0.029891541981523422
26,22,ex_22,3,minkowski,1,IDW,relieff,0.9671324967525242,0.009400004524900559,0.9971553087234497,0.03708982573265834
27,40,ex_40,5,minkowski,1,IDW,relieff,0.9668658524225554,0.009485296118851865,1.0037180185317993,0.018436752213860586
28,58,ex_58,7,minkowski,1,IDW,relieff,0.9668637398124241,0.006615430631129808,1.0023525953292847,0.037866388016341915
29,49,ex_49,5,minkowski,2,IDW,relieff,0.9666005929975532,0.008949059066702729,1.0088563919067384,0.04691339934881758
30,1,ex_1,1,minkowski,1,majority,relieff,0.9665991933099983,0.007310336476232135,0.9277377843856811,0.05355950216963878
31,4,ex_4,1,minkowski,1,IDW,relieff,0.9665991933099983,0.007310336476232135,1.0522883176803588,0.11288991484067014
32,7,ex_7,1,minkowski,1,sheppard,relieff,0.9665991933099983,0.007310336476232135,1.1001657247543335,0.10710837296962362
33,19,ex_19,3,minkowski,1,majority,relieff,0.9660672746542568,0.009617579244547082,0.9222925186157227,0.015999831689996108
